zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon
82140,26215,48.204163085891,11.336295103699,urban,383631,48.20940789689,11.328696032069
82152,17713,48.103809543057,11.411672266551,urban,491124,48.097874388268,11.42822773255
82166,13434,48.123076232415,11.436694491305,urban,566934,48.119927298245,11.450650675685
82178,20834,48.162376165919,11.346848351312,urban,447091,48.174216418488,11.368431594552
82194,20080,48.19507194354,11.37770594433,urban,460284,48.184228936061,11.386785780374
82205,18037,48.110281117181,11.286742769585,urban,352745,48.10946506624,11.289009169528
82211,10580,47.993652141435,11.148859730901,urban,242221,48.001528999401,11.172371660255
82216,13443,48.235684940959,11.252679576134,urban,331873,48.21539965044,11.271508813049
82223,12168,48.163220169417,11.315359041653,urban,408691,48.160727855637,11.328627643444
82229,7469,48.039142766517,11.229725016857,urban,267966,48.039440821511,11.209809877942
82234,5416,48.075530055508,11.272150641818,urban,303620,48.061174404274,11.265879360447
82237,5043,48.077914485453,11.199082931645,urban,278774,48.085005011542,11.195762702482
82239,3732,48.146093148236,11.284297154947,urban,372749,48.146459886068,11.299254206304
82256,35273,48.178780571059,11.228827611315,urban,327999,48.196536585252,11.247111136204
82266,4539,48.070028087361,11.148775399678,urban,255636,48.068573484334,11.145614197233
82269,5753,48.135844437146,11.00247719493,urban,227272,48.12059537658,11.002944281033
82272,4061,48.165200156565,11.071272654682,urban,249279,48.163403816111,11.080426188686
82275,6499,48.18111262196,11.294140499935,urban,355027,48.189635246455,11.284247599414
82276,1661,48.188031742076,11.114461416077,urban,0,,
82278,1899,48.224897695464,11.071076329755,urban,252835,48.235682895442,11.063886045936
82279,1742,48.081405572453,11.116734104991,urban,247618,48.077956699751,11.114103079556
82281,3396,48.268706137569,11.180175360152,urban,272569,48.244160432783,11.170639477964
82284,3831,48.122896632483,11.164151979312,urban,281902,48.127279087105,11.179858115743
82285,1460,48.220901965402,11.121568278453,urban,0,,
82287,1575,48.162961740568,11.134015013419,urban,272701,48.166799264777,11.149061766998
82288,1678,48.122098659067,11.127766266044,urban,256895,48.130519526193,11.118499943412
82290,1513,48.160724540118,11.172684376204,urban,0,,
82291,4831,48.206151951802,11.164087468379,urban,270631,48.20031886069,11.143443009208
82293,1745,48.246682872805,11.095092417891,urban,0,,
82294,1677,48.242760204086,11.142201656368,urban,266527,48.239639173733,11.144804840553
82296,1949,48.134277398949,11.207805025563,urban,294583,48.128576815547,11.203823451848
82297,943,48.214892307518,11.021871110665,urban,0,,
82299,3784,48.108177136491,11.093174197395,urban,241210,48.099707979096,11.079172863999
82319,23430,48.005044870481,11.331186191147,urban,313079,48.003516160071,11.354333440653
82327,9704,47.906778463438,11.254818543247,urban,231875,47.911271400443,11.277660171522
82335,8427,47.961476137776,11.372073936633,urban,292387,47.970971833962,11.377752320872
82340,4491,47.934939242116,11.299146229673,urban,250603,47.946121714115,11.288964927667
82343,5711,47.974789107441,11.29513328773,urban,259734,47.962283214006,11.28950460982
82346,3474,47.96559209038,11.201007094918,rural,242487,47.972898111189,11.219061061946
82347,2243,47.866028267091,11.291871369825,urban,0,,
